Date,Confirmed,Deaths
1-Feb-2020,1,0
3-Mar-2020,2,0
6-Mar-2020,1,0
9-Mar-2020,1,0
11-Mar-2020,1,0
14-Mar-2020,8,0
15-Mar-2020,3,0
16-Mar-2020,5,0
17-Mar-2020,7,0
18-Mar-2020,12,0
19-Mar-2020,10,0
20-Mar-2020,13,0
21-Mar-2020,13,0
22-Mar-2020,17,0
23-Mar-2020,28,0
24-Mar-2020,25,0
25-Mar-2020,36,1
26-Mar-2020,64,0
27-Mar-2020,68,2
28-Mar-2020,79,1
29-Mar-2020,25,0
30-Mar-2020,33,0
31-Mar-2020,38,3
1-Apr-2020,104,3
2-Apr-2020,54,3
3-Apr-2020,55,0
4-Apr-2020,70,1
5-Apr-2020,47,0
6-Apr-2020,49,0
7-Apr-2020,40,1
8-Apr-2020,89,2
9-Apr-2020,63,0
10-Apr-2020,59,0
11-Apr-2020,81,1
12-Apr-2020,49,1
13-Apr-2020,7,0
14-Apr-2020,21,0
15-Apr-2020,83,3
16-Apr-2020,50,3
17-Apr-2020,72,3
18-Apr-2020,57,4
19-Apr-2020,70,0
20-Apr-2020,36,1
21-Apr-2020,24,0
22-Apr-2020,66,1
23-Apr-2020,67,2
24-Apr-2020,31,0
25-Apr-2020,118,2
26-Apr-2020,99,1
27-Apr-2020,48,0
28-Apr-2020,32,3
29-Apr-2020,101,2
30-Apr-2020,128,1
1-May-2020,160,5
2-May-2020,92,2
3-May-2020,103,0
4-May-2020,84,5
5-May-2020,66,4
6-May-2020,127,4
7-May-2020,92,1
8-May-2020,150,5
9-May-2020,146,3
